,movie_id,title,release_date,budget,revenue_worldwide,runtime,genres,imdb_id,franchise,cast_popularity_mean,cast_popularity_max,director_popularity,original_language,imdb_rating,imdb_votes,mpaa_rating,domestic_box_office,rotten_tomatoes_score,metacritic_score,awards_text,month,season,critics_score,audience_score
0,8193,Napoleon Dynamite,2004-06-11,-0.7314659810572858,46118097,95,['Comedy'],tt0374900,False,-0.8841108102265408,2.479,1.3126,en,0.7,251071.0,PG,44540956.0,72.0,64.0,10 wins & 23 nominations total,6,Summer,6.8,0.7
1,663558,New Gods: Nezha Reborn,2021-02-06,-0.737418427020888,70000000,117,"['Animation', 'Fantasy', 'Action']",tt13269670,True,-1.0844373750766825,1.3269,0.5921000000000001,zh,0.6799999999999999,4451.0,TV-14,,80.0,,3 wins & 3 nominations total,2,Winter,8.0,0.6799999999999999
2,614409,To All the Boys: Always and Forever,2021-02-12,-0.737418427020888,0,115,"['Romance', 'Comedy', 'Drama']",tt10676012,True,-0.136529540776649,5.6727,0.20370000000000002,en,0.63,37385.0,TV-14,,79.0,65.0,2 wins & 2 nominations total,2,Winter,7.2,0.63
3,12,Finding Nemo,2003-05-30,0.6614063744256407,940335536,100,"['Animation', 'Family']",tt0266543,True,-0.8558452023418184,1.8011,1.2339,en,0.82,1185437.0,G,380843261.0,99.0,90.0,Won 1 Oscar. 49 wins & 63 nominations total,5,Other,9.45,0.82
4,16,Dancer in the Dark,2000-09-01,-0.5514044906583176,40061153,140,"['Drama', 'Crime']",tt0168629,False,-0.6622562907860209,2.5962,2.2434,en,0.79,122419.0,R,4184036.0,69.0,63.0,Nominated for 1 Oscar. 34 wins & 48 nominations total,9,Other,6.6,0.79
5,1179664,A Deadly Invitation,2023-10-06,-0.737418427020888,0,93,"['Comedy', 'Mystery']",tt13022120,False,-1.0964756771398156,1.1153,0.12380000000000001,es,0.51,2120.0,TV-14,,60.0,,N/A,10,Other,6.0,0.51
6,614418,‎7 Hours to Win Your Heart,2020-10-04,-0.737418427020888,0,95,['Comedy'],tt10814876,False,-1.1954391963525137,0.8846,0.32430000000000003,it,0.5900000000000001,1377.0,N/A,,,,4 nominations,10,Other,,0.5900000000000001
7,22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,1.3459376602398994,655011224,143,"['Adventure', 'Fantasy', 'Action']",tt0325980,True,0.2964697473950722,6.6058,0.8297,en,0.8099999999999999,1298018.0,PG-13,305413918.0,79.0,63.0,Nominated for 5 Oscars. 38 wins & 104 nominations total,7,Summer,7.1,0.8099999999999999
8,958487,Plan 75,2022-06-17,-0.737418427020888,0,113,"['Drama', 'Science Fiction']",tt19719904,False,-1.0313766608029156,1.4961,0.4988,ja,0.6599999999999999,2814.0,N/A,,95.0,70.0,12 wins & 17 nominations total,6,Summer,8.25,0.6599999999999999
9,24,Kill Bill: Vol. 1,2003-10-10,-0.2909849797507193,180906076,111,"['Action', 'Crime']",tt0266697,True,1.0649418090513703,9.6562,4.0946,en,0.82,1279130.0,R,70099045.0,85.0,69.0,Nominated for 5 BAFTA 30 wins & 103 nominations total,10,Other,7.7,0.82
10,122906,About Time,2013-09-04,-0.5588450481128205,87100449,123,"['Drama', 'Romance', 'Fantasy']",tt2194499,False,0.49426121935579226,6.4297,1.574,en,0.78,421226.0,R,15322921.0,71.0,55.0,3 wins & 9 nominations total,9,Other,6.3,0.78
11,27,9 Songs,2004-07-16,-0.7225373121118823,1574623,70,"['Drama', 'Music', 'Romance']",tt0411705,False,-1.0138479169204473,1.7807,0.4622,en,0.47000000000000003,25019.0,Not Rated,66853.0,23.0,43.0,1 win & 2 nominations total,7,Summer,3.3,0.47000000000000003
12,311324,The Great Wall,2016-12-16,1.4947488093299557,331957105,103,"['Action', 'Adventure', 'Fantasy']",tt2034800,False,1.8628589068350632,14.9267,2.1926,en,0.5900000000000001,156740.0,PG-13,45540830.0,35.0,42.0,3 wins & 2 nominations total,12,Winter,3.85,0.5900000000000001
13,606236,Family Swap,2021-06-30,-0.737418427020888,4849622,92,"['Comedy', 'Fantasy']",tt10366428,False,-1.192402507543795,1.0637,0.1384,fr,0.6,1027.0,N/A,,,,N/A,6,Summer,,0.6
14,35,The Simpsons Movie,2007-07-25,0.3786651911545338,527068851,87,"['Animation', 'Comedy', 'Family']",tt0462538,True,-0.6728575883236,2.711,0.382,en,0.73,360821.0,PG-13,183135014.0,87.0,80.0,Won 1 BAFTA Award5 wins & 34 nominations total,7,Summer,8.35,0.73
15,122917,The Hobbit: The Battle of the Five Armies,2014-12-10,2.982860300230518,956019788,144,"['Action', 'Adventure', 'Fantasy']",tt2310332,True,-0.04536109328275957,4.4959,2.3942,en,0.74,607254.0,R,255138261.0,59.0,59.0,Nominated for 1 Oscar. 8 wins & 56 nominations total,12,Winter,5.9,0.74
16,38,Eternal Sunshine of the Spotless Mind,2004-03-19,-0.4397961288407755,72258126,108,"['Science Fiction', 'Drama', 'Romance']",tt0338013,False,1.708109787408632,8.3642,0.8839,en,0.8300000000000001,1161652.0,R,34400301.0,93.0,89.0,Won 1 Oscar. 73 wins & 111 nominations total,3,Other,9.1,0.8300000000000001
17,417830,Diary of a Wimpy Kid: The Long Haul,2017-05-19,-0.41003389902276427,40120144,91,"['Comedy', 'Family', 'Adventure']",tt6003368,True,-0.6834317725682443,4.2652,0.2859,en,0.43,12288.0,PG,20738724.0,19.0,39.0,1 nomination total,5,Other,2.9,0.43
18,24619,Blind Horizon,2003-12-14,-0.6630128524758598,0,99,['Thriller'],tt0337881,False,-0.4865214826279113,3.4782,0.22030000000000002,en,0.55,5109.0,R,,,,N/A,12,Winter,,0.55
19,122924,One in the Chamber,2012-08-21,-0.6481317375668543,0,91,"['Action', 'Thriller']",tt1881024,False,-0.29305458089032127,5.4026,0.6687000000000001,en,0.51,5138.0,R,,,,N/A,8,Summer,,0.51
20,8247,Jumper,2008-02-13,0.52747634024459,222231186,88,"['Action', 'Adventure', 'Science Fiction']",tt0489099,False,1.5370384656353404,14.5879,1.0468,en,0.61,334661.0,PG-13,80172128.0,15.0,35.0,2 wins & 5 nominations total,2,Winter,2.5,0.61
21,58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2.238804554780237,1066179747,151,"['Adventure', 'Fantasy', 'Action']",tt0383574,True,0.877846531153502,7.2702,0.8297,en,0.74,812753.0,PG-13,423315812.0,53.0,53.0,Won 1 Oscar. 45 wins & 54 nominations total,7,Summer,5.3,0.74
22,65,8 Mile,2002-11-08,-0.12729271575165743,242875078,111,"['Drama', 'Music']",tt0298203,False,-0.2496733121943441,4.1138,0.4844,en,0.72,345998.0,R,116750901.0,76.0,77.0,Won 1 Oscar. 17 wins & 21 nominations total,11,Other,7.65,0.72
23,983105,The Year I Started Masturbating,2022-10-21,-0.737418427020888,0,98,"['Comedy', 'Drama', 'Romance']",tt15411160,False,-1.1526273068081712,1.5018,0.15080000000000002,sv,0.53,3823.0,N/A,,,,1 nomination total,10,Other,,0.53
24,417859,Puss in Boots,2011-10-27,1.1971265111498433,554987477,90,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Action']",tt0448694,True,0.9807957044276426,8.5016,0.8524,en,0.6599999999999999,207030.0,PG,149260504.0,85.0,65.0,Nominated for 1 Oscar. 9 wins & 43 nominations total,10,Other,7.5,0.6599999999999999
25,70,Million Dollar Baby,2004-12-05,-0.2909849797507193,216763646,132,['Drama'],tt0405159,False,1.0183069452031945,8.5525,6.3042,en,0.8099999999999999,752495.0,PG-13,100492203.0,90.0,86.0,Won 4 Oscars. 68 wins & 86 nominations total,12,Winter,8.8,0.8099999999999999
